"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"lm-external-location-id","lm-external-location-id","","","",0,*,"","","","null {[]} {[]}
","Identifiant de localisation externe","Identifiant externe référençant une localisation (établissement de santé, entreprise…).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"lm-external-location-id.source","lm-external-location-id.source","","","",1,1,"","","","code {[]} {[]}
","Source","Type de l'identifiant fourni.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-external-location-id-source|0.1.0","",,,,"lm-external-location-id.source",1,1,"",""
"lm-external-location-id.value","lm-external-location-id.value","","","",1,1,"","","","string {[]} {[]}
","Valeur","Valeur de l'identifiant.","Regexp : ^([0-9A-Z]{2}0\d{5}\d|\d{9}|\d{14}|\d{4}[A-Za-z])$","","","","","","","","",,,,,"",,,,"lm-external-location-id.value",1,1,"",""
