"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"lm-point","lm-point","","","",0,*,"","","","null {[]} {[]}
","Point géographique","Point géographique avec ses coordonnées et une indication sur la provenance AML.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"lm-point.coord","lm-point.coord","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/hubsante/StructureDefinition/lm-coord {[]} {[]}
","Coordonnées","Coordonnées géographiques du point.","","","","","","","","","",,,,,"",,,,"lm-point.coord",1,1,"",""
"lm-point.isAml","lm-point.isAml","","","",0,1,"","","","boolean {[]} {[]}
","Est AML","Indique si les coordonnées proviennent de l'Advanced Mobile Location (AML).","","","","","","","","","",,,,,"",,,,"lm-point.isAml",0,1,"",""
