"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"lm-geometry","lm-geometry","","","",0,*,"","","","null {[]} {[]}
","Géométrie","Localisation géographique horodatée d'un point.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"lm-geometry.datetime","lm-geometry.datetime","","","",1,1,"","","","dateTime {[]} {[]}
","Date/heure","Date et heure de la prise de coordonnées (avec fuseau horaire).","","","","","","","","","",,,,,"",,,,"lm-geometry.datetime",1,1,"",""
"lm-geometry.point","lm-geometry.point","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/fhir/hubsante/StructureDefinition/lm-point {[]} {[]}
","Point","Coordonnées géographiques du point.","","","","","","","","","",,,,,"",,,,"lm-geometry.point",0,1,"",""
