"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"lm-external-info","lm-external-info","","","",0,*,"","","","null {[]} {[]}
","Information externe","Référence vers une ressource externe apportant des informations complémentaires sur la localisation.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"lm-external-info.uri","lm-external-info.uri","","","",1,1,"","","","url {[]} {[]}
","URI","URI de la ressource externe.","","","","","","","","","",,,,,"",,,,"lm-external-info.uri",1,1,"",""
"lm-external-info.type","lm-external-info.type","","","",0,1,"","","","code {[]} {[]}
","Type","Type de la ressource externe.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-external-info-type|0.1.0","",,,,"lm-external-info.type",0,1,"",""
"lm-external-info.freetext","lm-external-info.freetext","","","",0,1,"","","","string {[]} {[]}
","Texte libre","Description libre de la ressource externe.","","","","","","","","","",,,,,"",,,,"lm-external-info.freetext",0,1,"",""
