"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"lm-identity","lm-identity.strictFeatures","lm-identity.strictFeatures","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/fhir/hubsante/StructureDefinition/lm-ins-strict-features {[]} {[]}
","Traits stricts","Traits stricts de l'identité INS (nom de naissance, date de naissance, sexe).","","","","","","","","","",,,,,"",,,,"lm-identity.strictFeatures",0,1,"",""
"lm-identity","lm-identity.nonStrictFeatures","lm-identity.nonStrictFeatures","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/fhir/hubsante/StructureDefinition/lm-detailed-name {[]} {[]}
","Traits non stricts","Prénom et nom usuel du patient.","","","","","","","","","",,,,,"",,,,"lm-identity.nonStrictFeatures",0,1,"",""
"lm-ins-strict-features","lm-ins-strict-features","lm-ins-strict-features","","","",0,*,"","","","null {[]} {[]}
","Traits stricts de l'identité","Traits stricts de l'identité du patient au sens de l'identité INS.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"lm-ins-strict-features","lm-ins-strict-features.birthName","lm-ins-strict-features.birthName","","","",0,1,"","","","string {[]} {[]}
","Nom de naissance","Nom de naissance (nom de famille) du patient.","","","","","","","","","",,,,,"",,,,"lm-ins-strict-features.birthName",0,1,"",""
"lm-ins-strict-features","lm-ins-strict-features.birthDate","lm-ins-strict-features.birthDate","","","",0,1,"","","","date {[]} {[]}
","Date de naissance","Date de naissance du patient.","Regexp : ^\d{4}-\d{2}-\d{2}$","","","","","","","","",,,,,"",,,,"lm-ins-strict-features.birthDate",0,1,"",""
"lm-ins-strict-features","lm-ins-strict-features.sex","lm-ins-strict-features.sex","","","",0,1,"","","","code {[]} {[]}
","Sexe","Sexe du patient.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-sex|0.1.0","",,,,"lm-ins-strict-features.sex",0,1,"",""
"lm-main-diagnosis","lm-main-diagnosis","lm-main-diagnosis","","","",0,*,"","","","null {[]} {[]}
","Hypothèse de régulation médicale principale","Hypothèse diagnostique principale issue de la régulation médicale.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"lm-main-diagnosis","lm-main-diagnosis.code","lm-main-diagnosis.code","","","",1,1,"","","","string {[]} {[]}
","Code","Code de la nomenclature associée (CIM-10).","Regexp : ^[A-Z]\d{2}(\.[\d\+\-]{1,3})?$","","","","","","","","",,,,,"",,,,"lm-main-diagnosis.code",1,1,"",""
"lm-main-diagnosis","lm-main-diagnosis.label","lm-main-diagnosis.label","","","",1,1,"","","","string {[]} {[]}
","Libellé","Libellé de la nomenclature associée. Obligatoire pour permettre l'affichage même si le code n'est pas reconnu.","","","","","","","","","",,,,,"",,,,"lm-main-diagnosis.label",1,1,"",""
"lm-medical-note","lm-medical-note","lm-medical-note","","","",0,*,"","","","null {[]} {[]}
","Observation médicale","Observation médicale réalisée par un professionnel de santé dans le contexte de la régulation médicale (RS-EDA).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
