"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"lm-location-kind","lm-location-kind","","","",0,*,"","","","null {[]} {[]}
","Type de lieu","Code et libellé décrivant le type de lieu de l'intervention (nomenclature SAMU).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"lm-location-kind.code","lm-location-kind.code","","","",1,1,"","","","string {[]} {[]}
","Code","Code de la nomenclature associée.","Regexp : ^L\d{2}(\.\d{2}){2}$","","","","","","","","",,,,,"",,,,"lm-location-kind.code",1,1,"",""
"lm-location-kind.label","lm-location-kind.label","","","",1,1,"","","","string {[]} {[]}
","Libellé","Libellé de la nomenclature associée.","","","","","","","","","",,,,,"",,,,"lm-location-kind.label",1,1,"",""
