"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"lm-whats-happen","lm-whats-happen","","","",0,*,"","","","null {[]} {[]}
","Nature du problème","Code et libellé décrivant la nature de l'événement déclenchant l'appel (nomenclature SAMU).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"lm-whats-happen.code","lm-whats-happen.code","","","",1,1,"","","","string {[]} {[]}
","Code","Code de la nomenclature associée.","Regexp : ^C\d{2}(\.\d{2}){2}$","","","","","","","","",,,,,"",,,,"lm-whats-happen.code",1,1,"",""
"lm-whats-happen.label","lm-whats-happen.label","","","",1,1,"","","","string {[]} {[]}
","Libellé","Libellé de la nomenclature associée.","","","","","","","","","",,,,,"",,,,"lm-whats-happen.label",1,1,"",""
