"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"lm-identity","lm-identity","","","",0,*,"","","","null {[]} {[]}
","Identité","Identité du patient, combinant les traits stricts (INS) et les traits non stricts (nom usuel).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"lm-identity.strictFeatures","lm-identity.strictFeatures","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/fhir/hubsante/StructureDefinition/lm-ins-strict-features {[]} {[]}
","Traits stricts","Traits stricts de l'identité INS (nom de naissance, date de naissance, sexe).","","","","","","","","","",,,,,"",,,,"lm-identity.strictFeatures",0,1,"",""
"lm-identity.nonStrictFeatures","lm-identity.nonStrictFeatures","","","",0,1,"","","","https://interop.esante.gouv.fr/ig/fhir/hubsante/StructureDefinition/lm-detailed-name {[]} {[]}
","Traits non stricts","Prénom et nom usuel du patient.","","","","","","","","","",,,,,"",,,,"lm-identity.nonStrictFeatures",0,1,"",""
