"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"lm-notes","lm-notes","","","",0,*,"","","","null {[]} {[]}
","Note","Note horodatée associée à l'alerte initiale.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"lm-notes.creation","lm-notes.creation","","","",0,1,"","","","dateTime {[]} {[]}
","Date/heure de création","Date et heure de création de la note.","","","","","","","","","",,,,,"",,,,"lm-notes.creation",0,1,"",""
"lm-notes.freetext","lm-notes.freetext","","","",0,1,"","","","string {[]} {[]}
","Texte libre","Contenu de la note.","","","","","","","","","",,,,,"",,,,"lm-notes.freetext",0,1,"",""
